,Id,Sentiment,Sentence
0,1,negative,jelek film si ernest gak mutu bgt actingnya film sampah
1,2,negative,film king arthur film jelek cerita king arthur
2,3,negative,beexkuanlin film gwa kasar bapak
3,4,negative,ane ga suka fast and furiousmenurutku jelek tu film
4,5,negative,baekhyun36 gua ga tau film lu bilang perang perang perang ama rp yaoi ambigu
5,6,negative,tolong editingnya yg bagus kecewa dgn film indonesia tunggu film
6,7,negative,kecewa dgn salah aktor yg dukung nista agama ah sabar utk tonton film
7,8,negative,kecewa parah film the guys dear radityadika sorry to say this
8,9,negative,yg kecewa abis nonton film
9,10,negative,themummy 2017 film memgecewakan hidup yah sy udh berekspektasi tinggi suka bgt mesir kuno
10,11,negative,film jelek ga isi
11,12,negative,nonton film indonesia bioskop kartini critical eleven gambar kartini ale anya lemah
12,13,negative,nonton film kartini miris jaman jaman bangsa bodoh serakah gila kawin ironis celotehpagi
13,14,negative,btw danur jelek banget gausah tonton hans hansdavidian gue bayang lo meantweets film ntar lol
14,15,negative,film kartini trlalu singkat tonton yg blm baca biografi ttg kartini bingung sndiri emg blm baca bukuny
15,16,negative,habis nonton the guys kecewa nonton film banding film anjlok
16,17,negative,udah nonton film alien kecewa ragu nonton
17,18,negative,satusatunya rugi nonton film action aktor liat jelek
18,19,negative,film bilang baguskelompoknya doang kasih harga dia2 aj waktu nonton jelek
19,20,negative,sudah hidup singkat dihabisken tonton film jelek
20,21,negative,film king arthur jelek bagus cenderung mudah lupa
21,22,negative,jelek ah jelek film dimension rilis akting ga
22,23,negative,duh film ribet banget
23,24,negative,dgn durasi film yg tll alur yg datar stlh criticaleleven selesai sy dgn sih
24,25,negative,adegan potong rusak film
25,26,negative,selesai nonton film goal 3 turun kualitas film drastis parah
26,27,negative,ingat film beda buku bikin kecewa teman ngajak nonton black bulter
27,28,negative,ogah nonton kecewa ama film
28,29,negative,kecewa berat film power rangers bawah ekspektasi banget
29,30,negative,bahas film angkat novel kalo bikin film puas aja gitu
30,31,negative,sebenernya nggak salah akting prilly film danur oke oke aja greget cerita sih kuat
31,32,negative,abis nonton film balap2 mobil itutertidur 15 menit lelah bosan
32,33,negative,the mummy film yg aneh tengah film mummy
33,34,negative,aneh film besut marvel ga postcredit scene nyakaya film yg habis tontonlogan
34,35,negative,film norak
35,36,negative,film critical eleven rusak image ale anya kepala
36,37,negative,factrica suka filmfilm romantis endingnya jadi
37,38,negative,balik novel angkat film sesungguhny campur tangan produser sok tau embel2 jual
38,39,negative,ga respect laku si dian sastro film hambar ga mutu
39,40,negative,sebnarnya film lumyan bgussayangnya aktor aktris rusia film trsa hambar
40,41,negative,kalo nol bikin film gak perempuan seksi bumbu cinta hambar
41,42,negative,1 insidious 2010 creepy bikin tegang film datar pengaruh
42,43,negative,gue nonton film homo aja rumit bener
43,44,negative,sayang banget film lokal bagus budgetnya layar tonton batas banget sayang banget
44,45,negative,film nonton bikin gue derita
45,46,negative,gue nonton the mummy bilang film bagus bioskop sesal
46,47,negative,malam nonton film pagi ane download malem nonton ane smpai begadang hasil ane kecewa httpfbme13szi5lbc
47,48,negative,takut kecewa nonton film danur takut ga sesuai ekspetasi buku mikir serius
48,49,negative,nonton alien covenant cinema21 mall mcimall kaya nonton baja parah yg skip mati mati jelek parah film bagus jelek
49,50,negative,gue yg jarang bgt nntn film indonesiakrn nntn gue slalu kecewa buat film yg mnrt gue ga totalitas
50,51,negative,ragu nonton banyak kecewa waktu nonton film adaptasi novel
51,52,negative,gamau berekspektasi tinggi sih film angkat dr buku kecewa
52,53,negative,tidur kecewa film diharepin hufy
53,54,negative,ane kecewa ma nih film udah nungguin
54,55,negative,ka selliyamanto udah nonton membabibuta kecewa nonton film tu
55,56,negative,jenuh nonton film hambar
56,57,negative,sesal dada nonton film
57,58,negative,netizen batal nonton film kartini garagara laku therealdisastr httpbitly2o2irpy
58,59,negative,film jelek ga isi
59,60,negative,film aneh ajaa
60,61,negative,aneh film baru conan gk spektakuler tp openingnya hancurin gedung sih
61,62,negative,askmenfess film bikin emosional benerbener nyedot emosi
62,63,negative,pandji insyaallahsah film busuk artis dungu rusak bhineka
63,64,negative,kecewa dgn plot cerita film the guys critanya akan lompat ga proses visual yg bs bikin kta erti amira suka sm alf
64,65,negative,jijik banget film pas kelinci gede nightmare parah httpstcoedoifus8p5
65,66,negative,bnyak yg bilang film mummy jelek pdahl ken nonton
66,67,negative,bilang film jelek daur ulang gagal imdb ratattote aja ratingnya anjlok tp turut suka film
67,68,negative,naruto film bodoh ke8 haha fakta quote
68,69,negative,gw ekspektasinya film kuat narasi yg gw jadiin motivasi tp kalimat inspiratifnya hehehe
69,70,negative,film hambar
70,71,negative,film the mummy gue gak sesuai harap gimana gitu film weird film tipe bang tom
71,72,negative,yah kirain film wkwk tonton kecewaa
72,73,negative,bilang jelek bilang aja yg film teman filmya bagus aja ngga bkin tmen lu maju sih
73,74,negative,abis nonton king arthur temen gw sen sblm nonton loh film jelek jgn percaya ama sen yg unsur
74,75,negative,kadang gampang nilai film jelek ketimbang nilai film bagus mbuh
75,76,negative,film dah udh bgni jijk
76,77,negative,film kartini menang pd main film yg kelas yg nama ceritany riset
